file_name,location,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_010_7_2_15_layer2,10,7/2/2015,1426.000666,447.0326893,690.7588157,197.1158206,-1.428363922
BMGMC_010_7_2_15_layer2,10,7/2/2015,1714.227594,289.9885389,278.0374503,172.9100068,-1.340829946
BMGMC_010_7_2_15_layer2,10,7/2/2015,957.5,463.5,256.7615729,206.5306608,1.570796327
BMGMC_010_7_2_15_layer2,10,7/2/2015,467.9959303,621.0064285,222.0081531,165.9377689,1.106394489
BMGMC_010_7_2_15_layer2,10,7/2/2015,749,983.5,610.2292689,216.0208353,1.570796327
BMGMC_010_7_2_15_layer2,10,7/2/2015,1642.501385,1019.0056,237.0823913,65.45486834,-1.50787611
BMGMC_010_7_2_15_layer2,10,7/2/2015,1045.795171,1086.93925,249.7947337,126.9897878,-0.996048626
BMGMC_010_7_2_15_layer3,10,7/2/2015,1589.073382,279.9461261,417.4906381,164.7346777,-1.443200966
BMGMC_010_7_2_15_layer3,10,7/2/2015,631.493826,600.4970308,464.5735121,109.0358061,1.471118669
BMGMC_010_7_2_15_layer3,10,7/2/2015,1472.488882,905.7851991,645.4400858,188.3064433,-1.465065271
BMGMC_010_7_2_15_layer3,10,7/2/2015,1197,804.5,402.3001808,196.9863574,1.570796327
BMGMC_010_7_2_15_layer3,10,7/2/2015,836.4977919,1248.998932,227.1074797,145.6741642,-0.981555248
BMGMC_010_7_2_15_layer3,10,7/2/2015,1689.527803,1465.747696,526.9241416,237.3666887,-1.443225542
BMGMC_011_7_2_15_layer1,11,7/2/2015,457.5084759,276.5200171,313.5480932,114.2650741,-1.4897763
BMGMC_011_7_2_15_layer1,11,7/2/2015,862.5035702,378.4962094,268.1979909,161.5648772,-1.516531899
BMGMC_011_7_2_15_layer1,11,7/2/2015,196.9795761,542.0172397,228.7442188,129.7974351,1.522930686
BMGMC_011_7_2_15_layer1,11,7/2/2015,1653.787979,720.7024649,395.3202299,108.1915618,-1.507044906
BMGMC_011_7_2_15_layer1,11,7/2/2015,788.0291829,764.1436249,457.6195274,89.31296188,1.527691872
BMGMC_011_7_2_15_layer1,11,7/2/2015,596.7277978,677.5420452,286.86175,122.7623804,1.506372204
BMGMC_011_7_2_15_layer1,11,7/2/2015,350.4939091,732.5268094,238.792398,128.3573904,1.416431331
BMGMC_011_7_2_15_layer1,11,7/2/2015,1032.5,944.5,289.8867069,243.050657,1.340445804
